date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:17	45345/45345	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b121-16e1c015e10%22	https://solcellskollen.se/_next/static/chunks/142.50c6951e01374b8af70f.js	D:/solnce2/solcellskollen.se/_next/static/chunks/142.50c6951e01374b8af70f.js	(from https://solcellskollen.se/profil/cell-solar)
11:47:18	1839916/1839916	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202019%2015:30:23%20GMT	https://solcellskollen.imgix.net/images/blog/rekord-verkningsgrad-solceller.jpg	D:/solnce2/solcellskollen.imgix.net/images/blog/rekord-verkningsgrad-solceller.jpg	(from https://solcellskollen.se/blogg/hur-effektiva-ar-solceller-2019-och-hur-ser-det-ut-om-tio-ar)
11:47:18	21956/21956	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Oct%202019%2013:13:22%20GMT	https://solcellskollen.imgix.net/public/cell-solar-4f79340ac0f2b9338f05cf845ac49252.png?auto=format&blur=200&w=128	D:/solnce2/solcellskollen.imgix.net/public/cell-solar-4f79340ac0f2b9338f05cf845ac492527c12.png	(from https://solcellskollen.se/profil/cell-solar)
11:47:18	9031/9031	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202019%2015:48:23%20GMT	https://solcellskollen.imgix.net/public/solceller-staffanstorp-skane-de486e02a61e2c86e013240580f1c23e.jpg?auto=format&blur=200&w=339	D:/solnce2/solcellskollen.imgix.net/public/solceller-staffanstorp-skane-de486e02a61e2c86e013240580f1c23ea10b.jpg	(from https://solcellskollen.se/profil/cell-solar)
11:47:19	3638/3638	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202019%2022:04:46%20GMT	https://solcellskollen.imgix.net/public/cell-solar-4f79340ac0f2b9338f05cf845ac49252.png?auto=format&blur=200&w=52	D:/solnce2/solcellskollen.imgix.net/public/cell-solar-4f79340ac0f2b9338f05cf845ac492529eb2.png	(from https://solcellskollen.se/profil/cell-solar)
11:47:20	295248/295248	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Oct%202019%2015:34:49%20GMT	https://solcellskollen.imgix.net/public/solceller-anderslov-lars-47d0f7f9601b9d6ba8a532fecd87e5e7.JPG?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-anderslov-lars-47d0f7f9601b9d6ba8a532fecd87e5e7529e.jpg	(from https://solcellskollen.se/profil/cell-solar)
11:47:20	735963/735963	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Oct%202019%2020:16:16%20GMT	https://solcellskollen.imgix.net/public/solceller-balsta-robert-902ae7986716632ad87f252a723bbb36.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-balsta-robert-902ae7986716632ad87f252a723bbb36529e.jpg	(from https://solcellskollen.se/profil/cell-solar)
11:47:21	705951/705951	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2021:03:05%20GMT	https://solcellskollen.imgix.net/public/solceller-wolfgang-uppsala-0fbb154f2321e2a61d77ed4d94c82329.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-wolfgang-uppsala-0fbb154f2321e2a61d77ed4d94c82329529e.jpg	(from https://solcellskollen.se/profil/cell-solar)
11:47:24	1100013/1100013	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202019%2015:48:33%20GMT	https://solcellskollen.imgix.net/public/solceller-jacob-lidingo-e20b0eac779e3affb0ed36fcb6825d35.jpg?auto=format&fit=crop&ixlib=react-8.5.1	D:/solnce2/solcellskollen.imgix.net/public/solceller-jacob-lidingo-e20b0eac779e3affb0ed36fcb6825d35529e.jpg	(from https://solcellskollen.se/profil/cell-solar)
11:47:25	4622151/4622151	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Apr%202019%2008:48:47%20GMT	https://solcellskollen.imgix.net/images/blog/solpaneltillverkning.jpg	D:/solnce2/solcellskollen.imgix.net/images/blog/solpaneltillverkning.jpg	(from https://solcellskollen.se/blogg/hur-effektiva-ar-solceller-2019-och-hur-ser-det-ut-om-tio-ar)
